r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.638643068,4.522123894,0.793510324,3.890855457,2.175516224,0.125368732,3.081120944,0.014749263,0.356932153,0.685840708,1.851032448,0.107669617,2.533923304,0.660766962,1356,2502,1.845132743,unsucc
1.266606822,3.185816876,0.458707361,3.496409336,2.02064632,0.136445242,3.599640934,0.002692998,0.208258528,0.467684022,1.417414722,0.120287253,3.131956912,0.673249551,1114,2936,2.635547576,succ
1.826771654,5.080314961,0.703937008,4.470866142,2.475590551,0.11496063,4.842519685,0.031496063,0.381102362,0.74015748,2.525984252,0.179527559,4.244094488,0.949606299,635,2025,3.188976378,succ
2.254237288,11.69915254,1,12.43220339,6.292372881,0.330508475,11.31779661,0.06779661,1.207627119,2.644067797,4.881355932,0.538135593,9.961864407,2.855932203,472,3590,7.605932203,unsucc
2.692307692,4.942307692,0.269230769,5.038461538,2.423076923,0.442307692,5.384615385,0.019230769,0.461538462,1.230769231,2.480769231,0.173076923,4.653846154,1.115384615,52,203,3.903846154,succ
1.369433198,4.332995951,0.293522267,3.851214575,1.700404858,0.164979757,3.976720648,0.012145749,0.382591093,0.58805668,2.062753036,0.213562753,3.287449393,0.671052632,1976,5426,2.745951417,unsucc
1.82322357,5.987868284,0.613518198,6.525129983,2.502599653,0.180242634,6.01559792,0.008665511,0.662045061,1.112651646,3.171577123,0.305025997,5.180242634,1.362218371,577,2463,4.268630849,succ
0.988137604,3.900355872,0.556346382,4.285883749,1.880189798,0.079478055,3.277580071,0.004744958,0.37366548,0.652431791,1.903914591,0.136417556,2.674970344,0.856465006,1686,3854,2.285883749,unsucc
1.063021316,4.069508804,0.125115848,4.263206673,1.759036145,0.115848007,3.617238184,0.007414272,0.543095459,0.795180723,2.131603336,0.113067655,3.109360519,0.873030584,1079,2707,2.508804449,succ
1.714527027,4.606418919,0.434121622,4.349662162,2.434121622,0.141891892,4.621621622,0.064189189,0.429054054,0.714527027,2.574324324,0.185810811,4.003378378,0.876689189,1184,3732,3.152027027,unsucc
1.102910603,3.651767152,0.186070686,3.878378378,1.471933472,0.180873181,3.723492723,0.014553015,0.372141372,0.635135135,1.742203742,0.161122661,3.337837838,0.802494802,962,2452,2.548856549,succ
1.989495798,6.380252101,0.737394958,6.153361345,2.569327731,0.193277311,5.386554622,0.025210084,0.5,1.151260504,3.342436975,0.218487395,4.674369748,1.109243697,952,3386,3.556722689,unsucc
2.09331652,6.161412358,0.53593947,5.9407314,2.924337957,0.179066835,5.998738966,0.034047919,0.592686003,0.915510719,2.9407314,0.220680958,5.136191677,1.229508197,793,3085,3.890290038,succ
1.709386282,6.700361011,0.395306859,8.924187726,3.812274368,0.157039711,5.891696751,0.019855596,0.810469314,1.032490975,3.397111913,0.467509025,4.750902527,1.833935018,1108,4398,3.969314079,unsucc
4.014534884,10.77906977,1.319767442,9.072674419,5.793604651,0.319767442,8.938953488,0.031976744,0.837209302,1.375,5.933139535,0.377906977,7.761627907,1.956395349,344,2398,6.970930233,succ
1.443920829,4.862393968,0.499528746,4.648444863,2.220546654,0.126295947,4.162111216,0.002827521,0.383600377,0.573044298,2.232799246,0.153628652,3.406220547,0.78793591,1061,2690,2.535344015,succ
1.073937153,3.277264325,0.364140481,3.077634011,1.277264325,0.097966728,3.528650647,0.027726433,0.247689464,0.430683919,1.469500924,0.14232902,3.133086876,0.565619224,1082,2432,2.247689464,unsucc
2.10940919,5.986870897,0.358862144,7.210065646,2.7702407,0.2297593,4.995623632,0.01750547,0.553610503,1.148796499,3.345733042,0.36761488,4.010940919,1.190371991,457,1608,3.518599562,succ
1.959459459,5.552552553,0.301801802,4.843843844,3.096096096,0.244744745,4.343843844,0.021021021,0.481981982,0.774774775,2.93993994,0.159159159,3.617117117,1.481981982,1332,3752,2.816816817,unsucc
1.462962963,4.14691358,0.451851852,3.920987654,2.135802469,0.107407407,4.256790123,0.043209877,0.333333333,0.585185185,1.897530864,0.154320988,3.738271605,0.756790123,1620,4522,2.791358025,unsucc
1.711026616,6.745247148,0.844106464,6.433460076,2.97338403,0.441064639,5.08365019,0.003802281,0.577946768,0.908745247,2.733840304,0.296577947,4.034220532,1.254752852,526,2054,3.904942966,unsucc
